Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Allegheny Center,1,798,91,781,89,23,27,6,8,77,49,10,10,15,21,2,16,0,10,0,10,6,8,17,20,72,33,41,26,98,53,34,25,35,24,52,26,132,51,129,51,16,24,16,14,0,10,0,10,0,10,0,10,17,12
Allegheny West,2,77,31,77,31,0,10,0,10,0,10,0,10,0,10,3,7,0,10,0,10,10,11,6,9,8,9,8,9,7,9,0,10,5,8,4,6,5,8,10,11,6,10,5,7,0,10,0,10,0,10,0,10,0,10
Allentown,3,531.0,138.166566144,481.0,120.540449642,0.0,17.3205080757,0.0,17.3205080757,18.0,24.4948974278,16.0,22.1133443875,16.0,22.1133443875,57.0,66.5206734782,63.0,35.6370593624,47.0,37.1752605908,23.0,40.5462698654,51.0,54.6443043692,32.0,36.9864840178,49.0,56.648036153,30.0,32.0156211872,41.0,34.7706773014,0.0,17.3205080757,9.0,19.8997487421,0.0,17.3205080757,29.0,36.823905279,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,50.0,78.2879301042
Arlington,4,209.0,70.5620294492,204.0,69.8999284692,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,4.0,15.779733838,0.0,17.3205080757,10.0,21.354156504,4.0,15.3622914957,6.0,16.7630546143,21.0,25.1594912508,52.0,41.4849370254,13.0,15.779733838,15.0,27.0,61.0,46.3141447076,0.0,17.3205080757,13.0,22.1133443875,0.0,17.3205080757,5.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,5.0,15.779733838
Arlington Heights,5,144,59,140,59,0,10,6,8,23,25,12,14,42,44,0,10,15,23,0,10,5,7,9,14,0,10,0,10,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6
Banksville,6,961.0,190.089452627,961.0,190.089452627,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,42.0,69.2026011072,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,70.0,70.363342729,96.0,64.5445582524,181.0,119.933314805,143.0,94.4139820154,251.0,128.058580345,146.0,111.968745639,32.0,41.7612260356,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bedford Dwellings,7,675,56,668,57,216,72,20,19,37,22,94,44,3,5,8,12,22,17,30,25,73,49,29,19,59,29,13,13,24,25,12,11,24,25,4,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10
Beechview,8,1502.0,236.021185489,1464.0,234.068366082,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,64.0,57.8359749638,19.0,35.0,56.0,68.1542368455,79.0,54.0740233384,164.0,106.981306779,76.0,62.0564259364,156.0,80.0374912151,170.0,91.6896940774,237.0,102.625532885,175.0,91.0549284773,59.0,44.2153819389,47.0,46.0108682813,76.0,68.0441033449,76.0,54.4150714417,10.0,34.481879299,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,38.0,39.3700393701
Beltzhoover,9,292.0,111.772089539,287.0,111.772089539,0.0,20.0,10.0,22.9128784748,0.0,20.0,24.0,23.1732604525,0.0,20.0,9.0,22.9128784748,9.0,22.9128784748,0.0,20.0,72.0,51.4781507049,54.0,57.706152185,36.0,53.860932038,32.0,39.0128184062,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,41.0,67.2681202354,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,19.519221296
Bloomfield,10,2883.0,201.732496144,2825.0,200.80836636,0.0,31.6227766016,6.0,31.3209195267,7.0,31.9530906173,24.0,39.9124040869,28.0,39.0,41.0,38.6910842443,85.0,53.9258750509,109.0,59.5566956773,85.0,55.7584074379,153.0,58.2580466545,197.0,71.232015274,354.0,96.8710483064,292.0,77.8845299146,236.0,76.47875522,218.0,84.3445315359,354.0,93.3059483635,146.0,62.60990337,278.0,87.1263450399,69.0,47.5078940808,126.0,61.5710971154,17.0,33.5410196625,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,58.0,36.3180395947
Bluff,11,161.0,46.2601340249,161.0,46.2601340249,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,4.0,18.6815416923,22.0,24.9799919936,27.0,26.1151297144,0.0,20.0,5.0,19.0787840283,0.0,20.0,0.0,20.0,5.0,19.0787840283,5.0,20.0,0.0,20.0,31.0,26.83281573,2.0,17.5783958313,11.0,20.0,37.0,26.7207784318,12.0,23.579652245,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bon Air,12,67,64,67,64,14,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,55,0,10,0,10,0,10,0,10,0,10,5,8,0,10,12,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
